Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Indonesia,IDN,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
IDA only,IDX,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
India,IND,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,32.20730579,31.53300842,30.7335963,31.63298683,32.86921377,33.81654864,34.93207883,34.65011098,35.34164871,34.49237914,35.39878666,36.32947752,36.78560696,37.89949257,38.05927369,37.47675105,38.30101211,38.789308,39.96421599,39.96418709
Not classified,INX,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,17.47027953,16.9801783,16.90137819,16.82207938,16.74227714,16.71454063,16.58049354,16.58049354,16.58049354,,16.99268891,16.95726714,16.95726714
Iraq,IRQ,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,0.002670940171,0.002670940171,0.002670940171
Israel,ISR,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,31.55080214,30.90586146,,,,35.67216981,30.01351091,,28.37734405,32.58671952,,,31.8854507,38.4787056,38.73384529,55.43478261,37.20496894,34.07141743,33.59962406,33.40037129
Italy,ITA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,15.93987873,,18.33366875,,17.73208469,,18.82502471,,,16.8274264,,,19.08290536,,,19.92663128,,,,
Jamaica,JAM,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,6.914414414,,,,,,,,,,
Jordan,JOR,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,7.142857143,7.317073171,7.064676617,7.328833173,7.89733465,8.251473477,7.474307069,9.542416452,9.248780488,9.617878879,9.60502693,9.158771174,9.786106379,9.868421053,9.798352741,10.00037525,8.589870904,8.259933451,7.724071394,8.09718173
Japan,JPN,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,35.4683914,35.33487298,35.05067568,35.99915146,36.2745098,36.05223721,35.89247312,35.09075194,35.17031894,35.37992597,34.50997588,34.71092548,35.19171441,34.81629039,,,,,,
Kazakhstan,KAZ,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,0.5825149727,,,,0.7850113976,0.7963573426,0.8093243638,0.8211320559,0.8176874143,0.8315951962,0.845735017
Kenya,KEN,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,KGZ,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,9.53043801,9.53043801,9.474169742,9.498607242,9.315960912,9.308458592,9.313423932,9.305317324,9.395043938,9.404536417,9.422632794,9.439823251,9.500127881,9.501662388,9.503419791,9.520827997,9.523628808,9.680063255,9.68519733,9.686722352
Cambodia,KHM,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Kiribati,KIR,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,15.91684435,,,,,13.12215221,,,,11.42104107,11.61555965,12.1627409,11.70167167,,,19.45145997,20.10340242,20.95262983,21.7343519
Lebanon,LBN,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Liberia,LBR,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Libya,LBY,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,LDC,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Low income,LIC,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Lower middle income,LMC,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,0.03386960203,0.03420265071,0.03439380911,0.03892733564,0.04813372424,0.05328360197,,,,,,,
Late-demographic dividend,LTE,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,,,,,,,,,,,,,
